id,dishid,namedish,description,nameingr,ingr,stepname,stepdish
31,161389,Индюшиный рулет с сухофруктами,"Мне очень нравится сочетание птицы с сухофруктами - это всегда вкусно, ярко и празднично. Если и вам по душе такое - берите рецепт на заметку, рулет получается очень вкусным! Кстати, можно подать его не только как горячее блюдо, но и холодным - в качестве закуски.",Ингредиенты для «Индюшиный рулет с сухофруктами»:,"['Фарш индюшачий 800 г', 'Изюм 50 г', 'Курага 50 г', 'Чернослив 50 г', 'Яблоко 1 шт', 'Сок яблочный 100 г', 'Яйцо куриное 1 шт', 'Сухари панировочные Панировка', 'Панировка 4 ст. л.', 'Соль  по вкусу', 'Порошок чесночный  по вкусу']",Рецепт «Индюшиный рулет с сухофруктами»:,"Яблоко, курагу и чернослив нарезать на мелкие кубики, добавить изюм, залить яблочным соком (или портвейном) и оставить на час. Из филе индейки приготовить фарш. Я приготовила его с помощью кухонного комбайна GALAXY GL2300. Чуть больше минуты - и фарш готов! Для дальнейшего приготовления фарш выложить в миску, добавить к нему яйцо, панировочные сухари, соль и гранулированный чеснок. Перемешать фарш и немного его отбить. Вымоченные сухофрукты слегка отжать, сок слить. Если хотите, чтобы начинка после приготовления была монолитнее и не рассыпалась при нарезке, добавьте к сухофруктам немного панировочных сухарей. На двойной лист фольги выложить фарш в виде длинного прямоугольника. Вдоль по центру выложить начинку. Завернуть фарш на начинку (с помощью фольги) и залепить. Получившийся рулет завернуть в фольгу и закрутить края. Положить рулет в форму для запекания и поставить в духовку, разогретую до 200°С. Запекать до готовности, около 30 минут. Если хотите, чтобы верх рулета подрумянился, аккуратно снимите фольгу с верха рулета за 10 минут до окончания приготовления. Готовый рулет вынуть из духовки, дать ему постоять минут 10, затем нарезать на порции и подавать. Очень вкусно! В холодном виде рулет тоже ушел у нас на ура. Приятного аппетита! Этот рулет приготовлен с помощью кухонного комбайна . За рецепт спасибо Татьяне Назарук."
32,66627,Холодный суп из авокадо с начинкой,"Это очень легкий, вкусный, полезный и ароматный суп. Моя подруга дала мне этот рецепт и после того, как я впервые его попробовала, он занял первое место среди моего ассортимента летних супов. Попробуйте, вам понравится!!!",Ингредиенты для «Холодный суп из авокадо с начинкой»:,"['Соль  по вкусу', 'Петрушка', 'Бекон 2 шт', 'Кукуруза 2 шт', 'Масло оливковое 1 ст. л.', 'Сметана 2 ст. л.', 'Сок лимонный 1 ст. л.', 'Авокадо 2 шт', 'Вода', 'Лук репчатый 1 шт']",Рецепт «Холодный суп из авокадо с начинкой»:,"Сначала готовом суп. Авокадо очищаем и нарезаем на небольшие куски. Кладем в блендер авокадо, сметану, лимонный сок, соль по вкусу и немного воды. Перемешиваем до состояния кашицы. Постепенно добавляем воду (или бульон) и доводим до желаемой консистенции. Я люблю этот суп сделать погуще. Получается вот такой суп. Он может храниться в холодильнике до 3 суток. Теперь готовим начинку. Лук и петрушку мелко нарезаем, бекон режем на маленькие куски, с кукурузы срезаем зерна. На нагретую сковороду наливаем оливковое масло и слегка обжариваем в нем лук. Добавляем кукурузу и жарим еще 3 минуты. Затем кладем бекон и петрушку и продолжаем жарить до готовности. Бекон отдаст весь свой жир и станет слегка обжaренным. Добавляем соль и перец по вкусу. При подаче кладем в середину тарелки начинку, а вокруг нее наливаем суп."
33,26569,Сладкое ананасовое мясо с почти азиатским рисом,"Такое мяско я попробовала на Борнео в Малайзии. Несколько раз пробовала его приготовить и вот, вроде, теперь уловила суть. Сразу хочу предупредить: рецепт понравится не всем!!! Сладкое и одновременно острое мясо всe-таки непривычно для нашего вкуса. Когда муж заказал себе его в ресторанчике и я попробовала кусочек, то решила что это извращение, но потом сама неоднократно брала себе это блюдо. Итак, не считайте меня сумасшедшей, но мне сочетание сладкого, солeного и острого понравилось)",Ингредиенты для «Сладкое ананасовое мясо с почти азиатским рисом»:,"['Говядина 400 г', 'Сок апельсиновый 250 мл', 'Специи', 'Соль', 'Ананас 3 шт', 'Чеснок 5 зуб.', 'Рис 1 стак.', 'Яйцо куриное 1 шт', 'Огурец 1 шт', 'Соус 1 ст. л.', 'Перец чили']",Рецепт «Сладкое ананасовое мясо с почти азиатским рисом»:,"1. Мясо нарезаем тоненькой соломкой, лучше немного подморозить его, перед тем как нарезать. В этот раз я не стала этого делать, и соломка получилась толще, чем надо. Это увеличивает время тушения. Обжариваем и добавляем чеснок. Зубчики нужно сначала раздавить, а потом мелко нарезать. Снова обжариваем с чесноком, солим немножко, потому что креветочный соус тоже солёный. Добавляем 1 стакан ананасового сока, креветочный соус, специи и отдельно сухой чили перец. Закрываем крышкой и оставляем тушиться на 1 час. Специи я привезла из Малайзии. Но их составляющие нам всем известны. В мясо мы добавляем: кориандр, тмин, анис, корица, кардамон, куркума, красный перец. А в рис кладём: звёздочный анис, корица, гвоздика, фенхель, перец. 2. Рис хорошо промываем. Отвариваем до готовности и снова промываем от лишней клейковины. Сливаем воду и отставляем в сторону, дожидаться своего часа. 3. яйцо взбиваем со 1 ст. л. воды, солим и жарим омлет с двух сторон. Нарезаем омлет соломкой. Огурец режем кубиком. 4. обжариваем рис на сковородке, добавляем нарезанный омлет, огурец и специи, о которых я написала выше. 5. Готовое мясо должно быть словно в густом карамельном соусе, каждый кусочек как будто находится в блестящей оболочке. Только тогда мясо считается приготовленным. Добавить нарезанный кружок ананаса, перемешать. Нужно хотя бы 3 кружка, я их специально оставляла. Хорошо, что вовремя заметила их отсутствие и буквально на последних секундах отбила хотя бы один.))) ПРИЯТНОГО АППЕТИТА!"
34,153399,Апельсиновый манник с чиа и изюмом,Я очень люблю манники и выпечку с ароматом цитруса. Сегодня я хочу угостить вас такой нежной и ароматной выпечкой. А семена чиа и изюм придают ему неповторимую структуру. Угощайтесь.,Ингредиенты для «Апельсиновый манник с чиа и изюмом»:,"['Молоко 1 л', 'Закваска 1 упак.', 'Апельсин 1 шт', 'Крупа манная 200 г', 'Кефир 200 мл', 'Яйцо куриное 3 шт', 'Сахар 200 г', 'Масло растительное 50 мл', 'Мука пшеничная Мука', 'Мука 50 г', 'Семена 50 г', 'Изюм 50 г', 'Разрыхлитель теста 8 г', 'Сода 5 г']",Рецепт «Апельсиновый манник с чиа и изюмом»:,"Для начала сделаем домашний кефир. В этом нам поможет закваска фирмы ""Oursson"". Берем пастеризованное молоко t=24*, смешиваем с закваской и ставим в специальный йогуртницу-термос на 8 часов. Вот такой он получается. Тщательно моем апельсин, режем, удаляем косточки. Добавляем сахар и измельчаем в блендере. Добавляем кефир, яйца и взбиваем до однородной массы. Добавляем манную крупу, семена чиа перемешиваем и оставляем на один час. Теперь добавляем масло, муку, соду, разрыхлитель и замешиваем тесто. Добавляем изюм и перемешиваем. Форму смазываем маслом и обсыпаем мукой. Кладем тесто и разравниваем. Выпекаем в горячей духовке при t=180 в течении 45-50 минут до готовности. Даем немного остыть и достаем из формы. Даем полностью остыть, посыпаем сахарной пудрой и подаем. ПРИЯТНОГО АППЕТИТА!"
35,62667,"Салат зимний ""Витаминный""","Покупать в январе красивые, но безвкусные помидоры или перцы не хочу, да и дорого. Думаю, что витаминчики зимой можно получать и из бюджетных продуктов. Для тех, кто меня критикует простотой салата - это будничное, ежедневное блюдо. Конечно, салатом из мидий и каперсов можно удивить гостей в праздник, но... праздник бывает в лучшем случае раз в месяц, а то и реже. Это блюдо - на каждый день. Пришли с работы, за 15 мин. приготовили салат, перекусили и, не спеша, готовим ужин. Все спокойно ждут основное блюдо и не ""кусочничают"".","Ингредиенты для «Салат зимний ""Витаминный""»:","['Свекла 200 г', 'Морковь 200 г', 'Чеснок  по вкусу', 'Майонез  по вкусу']","Рецепт «Салат зимний ""Витаминный""»:","Все овощи почистить. Свежую свеклу и морковку натереть на сырной терке, раздавить несколько зубчиков чеснока, всe перемешать, разложить по тарелочкам. Добавить ложку майонеза. Приятного аппетита!!!"
36,110793,Сырный суп с шампиньонами и брокколи,Сырный суп,Ингредиенты для «Сырный суп с шампиньонами и брокколи»:,"['Шампиньоны 6 шт', 'Сыр плавленый 2 шт', 'Брокколи 200 г', 'Картофель 2 шт', 'Морковь 1 шт', 'Масло растительное']",Рецепт «Сырный суп с шампиньонами и брокколи»:,"Шампиньоны нарезаем. Обжариваем минут 5-10. Морковку трем на терке и тоже обжариваем. Брокколи разделяем по соцветиям, на кусочки помельче. Можно брать свежую брокколи (в сезон), можно воспользоваться и замороженной. В таком случае перед приготовлением сырного супа брокколи слегка разморозьте, иначе будет сложно резать Картошку режем. В кипящую воду добавляем все ингредиенты, солим и варим в течение 10 минут. Тем временем натираем сырки на крупную терку. И добавляем в суп. Варим еще минут 5, пока сырки не разойдутся. Посыпаем сушеным укропом (при желании) и даем потомиться супчику еще пару минут. Подаем сырный суп с сухариками или гренками."
37,32634,Салат из морепродуктов,"Легкий и быстрый в приготовлении салат. К тому же вкусный))) Смотрится симпатично, не стыдно поставить на праздничный стол. Приятного аппетита!",Ингредиенты для «Салат из морепродуктов»:,"['Креветки 200-300 г', 'Кальмар 4 шт', 'Кукуруза 1 бан.', 'Огурец 2 шт', 'Листья салата Салат', 'Салат 1 вилок', 'Майонез 200 г']",Рецепт «Салат из морепродуктов»:,"Кальмары отвариваем (варить 3 минуты), режем полосками. Мелко режем огурцы. Соединяем все ингредиенты: креветки + кальмары + огурцы + кукуруза + майонез + листья салата (можно кит. капусту). Чтобы салат был по-сочнее можно больше добавить огурцов ( у меня всего 2 было)) Также думаю, что и яйца его не испортят."
38,126578,Окрошка на кефире с щавелем,Для любителей окрошки хочу предложить еще один вариант - окрошка на кефире с щавелем. Получается очень полезное витаминное блюдо. К тому же кефир приготовим самостоятельно из закваски Orsik.,Ингредиенты для «Окрошка на кефире с щавелем»:,"['Кефир 500 мл', 'Вода минеральная 250 мл', 'Щавель 1 пуч.', 'Редис 1/2 пуч.', 'Лук зеленый 1/2 пуч.', 'Горошек зеленый 1/2 стак.', 'Соль  по вкусу', 'Огурец 2 шт', 'Кукуруза 1 ст. л.', 'Сметана 2 ст. л.']",Рецепт «Окрошка на кефире с щавелем»:,"Итак, для начала приготовим кефир. Один маленький пакетик закваски рассчитан на один литр вкуснейшего натурального кефира. В литре молока комнатной температуры растворить порошок, хорошо размешать. Поставить на 10-12 часов в теплое место (в духовку, мультиварку, йогуртницу) для сквашивания. По готовности кефир хорошо охладить в холодильнике. Займемся приготовлением окрошки. Огурцы нарезать кубиком. Так же нарезать редиску. Щавель промыть, обсушить и мелко нашинковать. Зеленый лук нарубить колечками. Выложить подготовленные продукты в миску. Добавить зеленый горошек и кукурузу. Залить все подготовленной смесью из кефира и минеральной воды (по желанию можно взять простую воду). Посолить по вкусу. Готовую окрошку заправить сметаной. Приятного аппетита!"
39,16188,"Салат ""Рыбацкий""","Поймать такую рыбку  - мечта каждого рыбака... 
Это один из моих любимых салатов, готовится очень быстро, вкусный и сочный. Угощайтесь.","Ингредиенты для «Салат ""Рыбацкий""»:","['Рыба 400 г', 'Лук репчатый 3 шт', 'Огурец 2-3 шт', 'Майонез 100-150 г', 'Кетчуп 100 ']","Рецепт «Салат ""Рыбацкий""»:","Рыбу (можно любую - хек, палтус, морской окунь, ангел и др.)или запечь на гриле (соль, перец, лимонный сок) или отварить до готовности(перец душистый и черный горошек, лаврушка), порезать небольшими кусочками. Лук порезать крупной соломкой, жарим до золотистости на растительном масле. Дать остыть. Выкладываем на блюдо рыбу, поливаем кетчупом или томатным соусом, потом слой лука, майонез. Украшаем дольками огурца, помидора. Дать пропитаться 1-2 часа в холодильнике. Салат получается очень сочным и вкусным, хотя в нем совсем мало компонентов. Приятного аппетита!!"
40,49138,"Рыбный картофель к блюду ""Гефилте фиш""","Такую картошку можно сделать, когда готовите гефилте-фиш. Она будет замечательным дополнением к рыбе, поскольку имеет неповторимый рыбный вкус.","Ингредиенты для «Рыбный картофель к блюду ""Гефилте фиш""»:","['Бульон', 'Картофель', 'Соль', 'Перец чили']","Рецепт «Рыбный картофель к блюду ""Гефилте фиш""»:","Оставшийся после варки Гефилте-Фиш бульон с морковью, свеклой и шелухой перелили-переложили в отдельную кастрюлю Нарезали картошку. Долили воды. Поперчили, посолили. Имейте в виду, что бульон уже соленый и перченый. Варите до готовности. Подаете с рыбой. Можно есть как в горячем, так и в холодном виде."
41,97727,Салат с килькой,"Такой простой, повседневный салат из доступных продуктов. Легко заменяет ужин, получается вкусно, сытно.",Ингредиенты для «Салат с килькой»:,"['Килька 10 шт', 'Яйцо куриное 1 шт', 'Картофель 2 шт', 'Морковь 2 шт', 'Огурец 2 шт', 'Горошек зеленый 2 ст. л.', 'Яблоко 1 шт', 'Майонез 2 ст. л.']",Рецепт «Салат с килькой»:,"Картофель, морковь отварить, почистить, нарезать кубиками. Маринованный огурец тоже нарезать кубиками. Картофель, морковь смешать с зеленым горошком. ( майонезом не заправлять!!!) У килек отрезать голову и хвост, тушки выпотрошить и аккуратно разделать на филе. Яблоко почистить и натереть на крупной терке. Размешать с майонезом провансаль от Махеевъ. На плоскую тарелку выложить яблоко с майонезом. На него овощной салат горкой. Украсить сверху кильками и яйцом."
42,34358,"Салат ""Селяночка""",Ещe один вкусный салатик из курочки,"Ингредиенты для «Салат ""Селяночка""»:","['Грудка куриная 1 шт', 'Чеснок 1 зуб.', 'Перец болгарский 1 шт', 'Шампиньоны 1 бан.', 'Сыр твердый 100 г', 'Маслины 100 г', 'Горошек зеленый 1 бан.', 'Майонез 250 г']","Рецепт «Салат ""Селяночка""»:","Грудку,перец и маслины порезать,чеснок пропустить через пресс,сыр потереть на тёрке.С грибов слить воду,добавить горошек и всё заправить майонезом.Чеснок можно не добавлять,но он добавляет свою пикантную нотку."
43,160703,"Ватрушка с яблоками и клюквой ""Наоборот""","Приглашаю отведать вкуснейшую ватрушку с яблоками и клюквой, которая готовится несколько наоборот, нежели обычная ватрушка. Такой выпечкой можно порадовать своих родных, близких и гостей. Очень вкусно, ароматно, нежно!","Ингредиенты для «Ватрушка с яблоками и клюквой ""Наоборот""»:","['Яйцо куриное 1 шт', 'Сметана 100 г', 'Сахар 50 г', 'Соль 1 щепот.', 'Масло сливочное 30 г', 'Мука пшеничная Мука', 'Мука 80 г', 'Сода 0.25 ч. л.', 'Творог 400 г', 'Яйцо куриное 2 шт', 'Сахар 80 г', 'Крупа манная 2 ст. л.', 'Яблоко 2 шт', 'Клюква 30 г', 'Ванильный сахар 1 пакет.']","Рецепт «Ватрушка с яблоками и клюквой ""Наоборот""»:","Начнем приготовление ватрушки с начинки. Для этого яблоки помыть и очистить от кожуры и сердцевины. Разрезать на 8 долек. Обвалять в ванильном сахаре. Разложить яблоки и клюкву в форме для выпечки (у меня силиконовая). Далее приготовить творожную начинку. Для этого смешать в миске творог, сахар, яйца, манку. Взбить погружным блендером до получения однородной массы. Распределить творожную массу поверх яблок. Для теста в миске соединить яйцо, сметану, сахар, соль, перемешать. Добавить растопленное сливочное масло, перемешать. Далее просеять муку с содой и снова хорошо перемешать. Распределить тесто поверх творожного слоя. Поставить в холодную духовку, включить на 180 градусов, готовить 40-45 мин. Сразу из духовки не вынимать, а оставить ватрушку там до полного остывания духовки. Аккуратно перевернуть форму с ватрушкой на блюдо. Готовую ватрушку можно подавать к столу!!! Ватрушка получается очень нежная И сочная🤗 Разрезик☕ Приятного аппетита!!! ❤️❤️❤️"
44,157733,Макрурус на гриле,"В предыдущем рецепте я уже писал о такой рыбе, как макрурус и о том, что с ним достаточно сложно работать. Сегодня я покажу еще один способ его приготовления и расскажу о маленьких хитростях, необходимых для такого приготовления.",Ингредиенты для «Макрурус на гриле»:,"['Рыба 1 шт', 'Соль  по вкусу', 'Перец черный  по вкусу', 'Масло растительное']",Рецепт «Макрурус на гриле»:,"Первым делом надо сделать филе. Я раньше думал, что разделывать макруруса легче, когда он подморожен. Но Вячеслав Анзулис - шеф-повар ресторана ""Port Cafe"" (Владивосток) показал, как правильно разделывать. Для этого надо полностью макруруса разморозить, чтобы стекла лишняя жидкость. Филе разрезать на порционные куски. Их надо положить в дуршлаг не менее, чем на час, чтобы еще стекло максимум жидкости. После того, как жидкость стечет, нужно посолить и поперчить рыбу по вкусу. Теперь поговорим о гриле. Понадобится гриль с толстым дном. В идеале это чугунная сковорода-гриль, как у меня. Также подойдет стальной гриль с толстым дном. Если взять гриль или сковороду-гриль с тонким дном, то, когда положите рыбу, гриль локально потеряет температуру и рыба к нему может прилипнуть. Хорошо прогреваем гриль на средней температуре. У меня это 4 из 6. Смазываем гриль маслом. Обжариваем рыбу с двух сторон по нескольку минут. Пользуясь этими хитростями, Вы без труда приготовите нежнейшего макруруса на гриле. Приятного аппетита."
45,132621,Роллы из баклажанов со сметанным соусом,"Осталось у меня 2 баклажана после приготовления икры и немного рисовой каши. купила 1 плавленный сырок, взяла 1 маленький огурчик, соль да майонез. вот и получилась такая закуска, а уж со сметанно - чесночным соусом и укропом - очень даже хорошо.",Ингредиенты для «Роллы из баклажанов со сметанным соусом»:,"['Баклажан 2 шт', 'Масло подсолнечное 10 ст. л.', 'Соль 1 ч. л.', 'Рис 100 г', 'Майонез 2 ст. л.', 'Огурец 1 шт', 'Сырок плавленый 1 шт', 'Сметана 1 стак.', 'Чеснок 1 зуб.', 'Укроп 1 ст. л.', 'Соль 0,5 ч. л.']",Рецепт «Роллы из баклажанов со сметанным соусом»:,"- 2 средних баклажана помыть, обсушить, порезать вдоль на тонкие пластины, не очищая от кожуры. Хорошо посолить и оставить на 20 мин. С 2 сторон пожарить на рафинирован. подсолн. масле до мягкости. Дать стечь маслу, остудить. - пол стакана риса - сварить - 1 маленький огурец - порезать на брусочки - 1 плавленный сырок - порезать на брусочки - майонез - соль Остывшие пластины баклажан слегка смазать майонезом, распределить тонким слоем рис. С острого конца пластины овоща на рис положить поперек брусочек свежего огурца и брусочек плавленного сыра рядом. Аккуратно завернуть от острого конца к широкому. ПОДАТЬ С СОУСОМ: сметана+ мелко порезанный зубок чеснока+резанный свежий укроп+соль = перемешать. ПРИЯТНОГО АППЕТИТА!!"
46,51521,"Деруны ""Деревня"" в горшочках","Этот рецепт был размещeн на сайте в 2008 году пользователем Lzaika45 под названием ""Деруны ""Деревня"" в горшочках"" и иллюстрирован мной в рамках акции ""Раскраски"". Т. е. рецепт был размещен мной же ровно 2 года назад, когда я только-только начинала свою жизнь на ""Поварeнке"", а теперь мною же и раскрашен. А уж, что из этого получилось... судить Вам...","Ингредиенты для «Деруны ""Деревня"" в горшочках»:","['Картофель 1-1,5 кг', 'Грибы 300 г', 'Мясо 300 г', 'Яйцо куриное 1 шт', 'Сметана 200-300 г', 'Лук репчатый 2-3 шт', 'Мука пшеничная Мука', 'Мука 2 ст. л.', 'Соль', 'Перец черный']","Рецепт «Деруны ""Деревня"" в горшочках»:","Мясо, какое имеется (у меня курятина) нарезать небольшими кусочками и обжарить на растительном масле. Добавить нарезанные соломкой грибы (у меня сыроежки)... ... и лук. Обжарить всё до золотистого цвета. Посолить, поперчить. Вот какая красота у меня получилась... Картофель натереть на мелкой тёрке, добавить яйцо, муку, соль и перец. Хорошенько перемешать. И поджарить небольшие дерунчики. В горшочки уложить слоями блинчики и зажарку. Каждый слой смазывать сметаной. Горшочки закрыть крышечками и поставить в разогретую духовку на минут 30. Получаются очень вкусное и нежное блюдо!!! Можно подавать на стол. ПРИЯТНОГО АППЕТИТА!!!"
47,169682,Сендвич с сыром и запечённой уткой,Быстро и вкусно! За столом всегда нарасхват! Рекомендую.,Ингредиенты для «Сендвич с сыром и запечённой уткой»:,"['Батон 16 ломт.', 'Сыр плавленый 8 ломт.', 'Утка 150 г', 'Зелень  по вкусу']",Рецепт «Сендвич с сыром и запечённой уткой»:,"Даже не имея тостового хлеба, можно приготовить вкусные сендвичи. Ломтики батона обрезать по размеру сендвичницы. Утку нарезать тонкими брусками, зелень вымыть, обсушить, нарубить. На панель положить ломтики батона, на них пластинку сыра, рубленую зелень. Затем брусочки утки, сверху ещё сыр. Накрыть всё ломтиками батона. Готовить в сендвичнице 3 - 5 минут. Подать горячими. ПРИЯТНОГО АППЕТИТА!!!"
48,6936,"Рыба ""Вдохновение""","Муж обожает рыбу в любом виде так, что при виде еe у него возникает такое вдохновение и желание приготовить еe как можно скорее и вкуснее, несмотря на усталость и занятость. Отсюда и название.","Ингредиенты для «Рыба ""Вдохновение""»:","['Картофель', 'Помидор', 'Майонез', 'Сыр твердый', 'Соль', 'Специи']","Рецепт «Рыба ""Вдохновение""»:","Выкладываем в форму рыбку ( заранее можно порезать на порционные куски ). Вокруг рыбки ложим картошку. Помидоры нарезаем кружочками и ложим сверху на картошку. Помидор желательно побольше ( тогда ещё вкуснее ). Всё ОБИЛЬНО смазать майонезом ( и рыбку тоже ), и посыпать тёртым сыром. Поставить в духовку на 50 мин при 200°. Рыбку конечно же чистим, моем, натираем солью, специями. И откладываем в сторону. Пока будем готовить картофель и помидоры, она немного просолится. Далее чистим картофель, режем на мелкие кусочки (можно кружочками ) в мисочку, также солим и немного перчика можно довавить."
49,73450,Суп пюре из фасоли и моркови с красным перцем,"Постный не значит невкусный!!! Очень даже вкусный, а главное - сытный!",Ингредиенты для «Суп пюре из фасоли и моркови с красным перцем»:,"['Фасоль 1 стак.', 'Морковь 3 шт', 'Лук красный 2 шт', 'Масло растительное 3 ст. л.', 'Помидор 3 шт', 'Перец красный жгучий 0,5 шт', 'Соевый соус 4 ст. л.', 'Бульон 200 мл', 'Соль', 'Шалфей', 'Тимьян']",Рецепт «Суп пюре из фасоли и моркови с красным перцем»:,"Для этого рецепта нам понадобится белая фасоль марки Мистраль. Ее необходимо замочить на ночь, а утром отварить в большом количестве воды. После варки слить воду. Морковь и лук очистить от кожуры. Морковь и лук нарезать. Теперь нарезать помидоры. Красный острый перец очистить от семечек и мелко нарезать. В сковороде разогреть растительное масло. Всыпать лук и морковь, немного поджарить, затем всыпать помидоры и красный перец. Посолить, добавить травы и соевый соус. Влить бульон и тушить до готовности. Затем всыпать фасоль, прогреть несколько минут. Вытащить травы из супа и пюрировать с помощью блендера. Все, наш суп готов, прошу к столу!!!"
50,64297,Самый вкусный яблочный пирог,"Рецепт нашла на сайте SMAK. ua. Название оставила то же, так как готовила уже не раз, и пирог, действительно, очень вкусный! Надеюсь, вам он тоже придется по вкусу.",Ингредиенты для «Самый вкусный яблочный пирог»:,"['Яйцо куриное 1 шт', 'Мука пшеничная Мука', 'Мука 200 г', 'Сметана 2 ст. л.', 'Масло сливочное 100 г', 'Соль 1/3 ч. л.', 'Сахар 4 ст. л.', 'Яблоко 8-10 шт', 'Молоко сгущенное 100 г', 'Корица 1/2 ч. л.', 'Сахарная пудра']",Рецепт «Самый вкусный яблочный пирог»:,"Из всех ингредиентов замесить мягкое, эластичное тесто. Разделить на 4 части - 1 побольше, 3 поменьше. Яблоки очистить, удалить сердцевину, нарезать крупными кубиками. Сбрызнуть лимонным соком, добавить сахар, корицу, перемешать. Сахар для начинки регулируйте по своему вкусу. Раскатать большую часть теста, выложить в смазанную сливочным маслом форму, сформировав бортики. Форма должна быть небольшой - у меня шириной 13 см, длиной 20 см. Смазать растопленным маслом и выложить 1/3 яблок, полить сгущенным молоком. Накрыть следующим куском теста. Смазать маслом, выложить яблоки, полить сгущенкой и т. д. Накрыть последним кусочком теста, смазать маслом, сделать в центре отверствие. Выпекать в предварительно разогретой до 180*С духовке 40 минут. Готовый пирог густо присыпать сахарной пудрой. У меня пудра ванильная. Остудить и нарезать на порции. Приятного аппетита! Ещё раз уточняю: ""Форма должна быть небольшой""!"
51,66825,Черничный пирог,Вкусный десерт для всей семьи),Ингредиенты для «Черничный пирог»:,"['Мука пшеничная Мука', 'Мука 250 мл', 'Желток яичный 1 шт', 'Сахар 100 г', 'Масло сливочное 100 г', 'Вода 2 ст. л.', 'Черника 350 г']",Рецепт «Черничный пирог»:,"Смешать масло, муку и сахар (несколько столовых ложек), добавить желток и холодную воду. Замесить тесто и поставить в холодильник на полчаса. Чернику перебрать и перемешать с сахаром. Форму смазать и положить туда тесто, чтобы края покрывали стенки. В некоторых местах сделать дырочки вилкой или зубочисткой. Положить начинку. Выпекать при температуре 200 градусов 20-30 минут. Приятного аппетита :)"
52,167320,"Грибной суп ""Опятница""","В этом году у нас изобилие грибов. На рынках в ведерках подосиновики, подберезовики, сухие грузди, маслята и конечно же осенние опята. На мой взгляд, в этом году заготовки из грибов сделают все. Предлагаю вам, дорогие мои, рецепт супа из осенних опят. Вкусный, наваристый с запахом леса и лесных грибов. :)","Ингредиенты для «Грибной суп ""Опятница""»:","['Опята 4 горст.', 'Крупа перловая 3 ст. л.', 'Картофель 2 шт', 'Морковь 1 шт', 'Лук репчатый', 'Майоран 1/2 ч. л.', 'Лист лавровый 1 шт', 'Масло сливочное 1 ст. л.', 'Петрушка  по вкусу', 'Укроп  по вкусу', 'Вода 2,5 л']","Рецепт «Грибной суп ""Опятница""»:","Замочить в воде 3 ст. ложки перловой крупы на 20-30 мин. Опята промыть в холодной воде. Крупные опята нарезать мелкими кусочками, мелкие опята можно не резать. В кастрюлю добавить 2,5 литра воды, добавить опята в холодную воду. Кастрюлю поставить на средний огонь, довести до кипения, снять пенку. Кастрюлю накрыть крышкой и варить грибы на медленном огне в течение 5-10 мин. Затем добавить промытую перловую крупу и варить грибы и крупу до полуготовности крупы. Пока варится перловка и грибы, можно приступить к пассеровек моркови и лука. В сковороду добавить сливочное масло (1 ст. ложка), добавить нашинкованный полукольцами лук (1 шт.) и нарезанную/нашинкова нную соломкой морковь. Пассеровать лук и морковь до легкой золотистой корочки. Картофель (2 шт.) нарезать кубиками. Добавить картофель в грибной бульон и варить картофель до готовности. Затем добавить пассерованные лук и морковь, добавить майоран, соль и черный молотый перец добавить по вкусу, добавить лавровый лист. Дать прокипеть супу еще несколько минут и снять с огня. Дать настояться 10-15 мин. По желанию добавить свежую зелень петрушки и укропа, добавить сметану. Приятного аппетита!"
